bookID	authors	average_rating	isbn	isbn13	language_code	num_pages	ratings_count	text_reviews_count	publication_date	publisher	genero	title_book	series	title	SerieChave
1	J.K. Rowling	4,57	439785960	9,78044E+12	eng	652	2095690	27591	16/09/2006	Scholastic Inc.	Fantasia	Harry Potter and the Half-Blood Prince	Harry Potter  	Harry Potter and the Half-Blood Prince (Harry Potter  #6)	Harry Potter  #6
2	J.K. Rowling	4,49	439358078	9,78044E+12	eng	870	2153167	29221	01/09/2004	Scholastic Inc.	Fantasia	Harry Potter and the Order of the Phoenix	Harry Potter  	Harry Potter and the Order of the Phoenix (Harry Potter  #5)	Harry Potter  #5
5	J.K. Rowling	4,56	043965548X	9,78044E+12	eng	435	2339585	36325	01/05/2004	Scholastic Inc.	Fantasia	Harry Potter and the Prisoner of Azkaban	Harry Potter  	Harry Potter and the Prisoner of Azkaban (Harry Potter  #3)	Harry Potter  #3
9	W. Frederick Zimmerman	3,74	976540606	9,78098E+12	en-US	152	19	1	26/04/2005	Nimble Books	Fantasia	"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation"	NULL	"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation"	NULL
14	Douglas Adams	4,22	1400052920	9,7814E+12	eng	215	4930	460	03/08/2004	Crown	Space Opera	The Hitchhiker's Guide to the Galaxy	Hitchhiker's Guide to the Galaxy  	The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)	Hitchhiker's Guide to the Galaxy  #1
21	Bill Bryson	4,21	076790818X	9,78077E+12	eng	544	248558	9396	14/09/2004	Broadway Books	Humor/Comédia	A Short History of Nearly Everything	NULL	A Short History of Nearly Everything	NULL
22	Bill Bryson	3,44	767915062	9,78077E+12	eng	55	7270	499	03/12/2002	Broadway Books	Jovem Adulto	Bill Bryson's African Diary	NULL	Bill Bryson's African Diary	NULL
23	Bill Bryson	3,87	767910435	9,78077E+12	eng	256	2088	131	14/09/2004	Broadway Books	Ficção	Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right	NULL	Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right	NULL
24	Bill Bryson	4,07	767903862	9,78077E+12	eng	335	72451	4245	15/05/2001	Broadway Books	Jovem Adulto	In a Sunburned Country	NULL	In a Sunburned Country	NULL
25	Bill Bryson	3,9	076790382X	9,78077E+12	eng	304	49240	2211	28/06/2000	Broadway Books	Biografia/Autobiografia	I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away	NULL	I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away	NULL
26	Bill Bryson	3,83	60920084	9,78006E+12	eng	299	45712	2257	28/08/1990	William Morrow Paperbacks	Aventura	The Lost Continent: Travels in Small Town America	NULL	The Lost Continent: Travels in Small Town America	NULL
27	Bill Bryson	3,86	380713802	9,78038E+12	eng	254	48701	2238	28/03/1993	William Morrow Paperbacks	Humor/Comédia	Neither Here nor There: Travels in Europe	NULL	Neither Here nor There: Travels in Europe	NULL
28	Bill Bryson	3,91	380727501	9,78038E+12	eng	324	80609	3301	28/05/1997	William Morrow Paperbacks	Jovem Adulto	Notes from a Small Island	NULL	Notes from a Small Island	NULL
29	Bill Bryson	3,93	380715430	9,78038E+12	eng	270	28489	2085	28/09/1991	William Morrow Paperbacks	História	The Mother Tongue: English and How It Got That Way	NULL	The Mother Tongue: English and How It Got That Way	NULL
34	J.R.R. Tolkien	4,36	618346252	9,78062E+12	eng	398	2128944	13670	05/09/2003	Houghton Mifflin Harcourt	Alta Fantasia	The Fellowship of the Ring	The Lord of the Rings  	The Fellowship of the Ring (The Lord of the Rings  #1)	The Lord of the Rings  #1
36	Chris   Smith	4,53	618391002	9,78062E+12	eng	218	19822	46	05/11/2003	Houghton Mifflin Harcourt	Alta Fantasia	The Lord of the Rings: Weapons and Warfare	NULL	The Lord of the Rings: Weapons and Warfare	NULL
37	Jude Fisher	4,5	618510826	9,78062E+12	eng	224	359	6	15/11/2004	Houghton Mifflin Harcourt	Fantasia	The Lord of the Rings: Complete Visual Companion	NULL	The Lord of the Rings: Complete Visual Companion	NULL
45	Dave Thomas	3,84	097669400X	9,78098E+12	eng	558	1430	59	28/07/2005	Pragmatic Bookshelf	NULL	Agile Web Development with Rails: A Pragmatic Guide	NULL	Agile Web Development with Rails: A Pragmatic Guide	NULL
